Question,Answer 1,#1,Answer 2,#2
Name An Advantage A Truck Has Over A Car.,Size,43,Carry More Stuff,18
Name An Animal That Men Are Often Described As.,Dog,45,`Bear,6
Name An Excuse Someone Might Give For Why They’Re Dancing Badly.,Too Much To Drink,40,Bad Joints,20
Name An Expense On A Business Trip That The Company Would Be Expected To Reimburse.,Hotel,45,Food,37
Name One Reason Someone Might Choose One Rental Video Store Over Another,Price,46,Variety,29
Name Someplace Where They Sell Cotton Candy.,Circus,36,Fair,26
Name Something A Baseball Catcher Might Wear.,Mask,52,Glove,36
Name Something A Construction Worker Would Hate To Forget To Bring With Him To Work.,Hard Hat,44,Tools,20
Name Something A Doctor Might Check During A Routine Exam.,Heart Rate,29,Blood Pressure,25
Name Something A Doctor Might Wear While Examining A Patient,Gloves,37,Stethoscope,36
Name Something A Liberated Woman Might Resent Having A Man Do For Her.,Open Doors,64,Pay,9
Name Something A Little Kid Might Do That Would Annoy A Department Store Santa.,Pull His Beard,48,Yell,4
Name Something A Professional Does For You That You Can Never Do The Same Way Yourself.,Style Hair,44,Cook,8
Name Something A Ten Year Old Girl Might Take To A Sleep Over.,Sleeping Bag,35,Pillow,10
Name Something A Vegetarian Might Put On A Sandwich.,Lettuce,34,Tomato,21
Name Something Associated With “It’s A Wonderful Life”.,Jimmy Stewart,26,Christmas,18
Name Something Associated With An Iceberg.,Titanic,51,Ice,17
Name Something Associated With E.T.,Phone Home,47,Alien,16
Name Something Cookies Get Dipped In.,Milk,80,Chocolate,13
Name Something Men Buy To Wear That Don’d Try On In A Fitting Room,Underwear,55,T-Shirts,14
Name Something Men Enjoy Shopping For.,Tools,44,Cars,30
Name Something Most People Associate With Heaven.,Angels,49,God,28
Name Something Most People Do Ever New Years Eve.,Drink,51,Party,26
Name Something Old People Spend More Time Doing Than Young People.,Sleeping,44,Reading,25
Name Something People Can Break.,Glasses,59,Bones,18
Name Something People Do To Start A Bottle Of Ketchup Flowing.,Hit The Bottom,45,Shake It,17
Name Something People Do To Their Hair That Makes Them Look Silly.,Dye It,65,Mohawk,14
Name Something People Don’t Like To Start.,Fight,28,Work,6
Name Something People Donate That Can Save A Life,Organ,47,Blood,38
Name Something People Drink Beer Out Of.,Bottles,38,Mug,21
Name Something People Know About Michael Douglas,Actor,31,Zeta Jones,15
Name Something People Look Forward To All Year Long.,Christmas,46,Birthday,4
Name Something People Stomp On With Their Foot.,Insects,60,Pedal,8
Name Something Santa Might Say To A Little Girl Or Boy Sitting On His Lap.,What Do You Want?,57,Hohoho,14
Name Something Specific A Dog Barks At.,Mailman,28,Other Dogs,5
Name Something That Can Be Framed.,Photo,90,Painting,2
Name Something That Happens On Every David Letterman Show.,Top Ten,65,Monologue,6
Name Something That Has A Ring Around It.,Finger,31,Tub,29
Name Something That Has Wax.,Candle,52,Ear,22
Name Something That Might Ruin A Ballerina’s Day While Performing On Stage.,Fall,49,Twist Ankle,10
Name Something That Smells Like Smoke When You Come Home From The Bar.,Clothes,57,Hair,34
Name Something The Indians Taught To The Pilgrims.,Farm Corn,44,Hunting,10
Name Something They Might Have In A Hotels Honeymoon Suite You Wish You Had In Your Bedroom.,Jacuzzi,37,Heart Bed,22
Name Something You Associate With Superman.,Fly,28,Cape,25
Name Something You Can Buy In The Paper Products Aisle At The Supermarket.,Paper Towels,32,Plates,17
Name Something You Do To An Envelope Before Mailing It.,Lick / Seal It,61,Stamp It,26
Name Something You Hate Getting In Your Mailbox,Bills,49,Junk Mail,33
Name Something You Might Buy That’s Made In Japan.,Car,33,Camera,28
Name Something You Might Get At A Movie Concession Stand To Go With Your Popcorn.,Soda,73,Butter,7
Name Something You Might Lose As You Get Older.,Memory,41,Hair,27
Name Something You Might See On A Tourist Who Just Came Back From Hawaii,Lei,82,Hawaiian Shirt,2
Name Something You See In A Museum.,Paintings,30,Statue,24
Name Something You See In Front Yards During The Holidays,Lights,42,Snow Man,19
Name Something You’d Hate To Be Without If You Were Climbing Mt. Everest.,Rope,47,Coat,8
Name Something You’d Hate To Notice About Your Clothes Just After You Left The House.,Stain,46,Ripped,5
Name Something You’d Find On The Cover Of A Novel.,Author,44,Title,38
Name Something You’d Hate To See In The Ocean Next To You.,Shark,60,Jellyfish,8
Name Something You’d Need If You’Re Making Apple Pie.,Crust,38,Apples,23
Name The Age Most Middle Age Men Would Like To Return To.,25,31,21,16
On An Airplane What Do You Hope The Person Behind You Avoids Doing.,Snoring,57,Vomiting,11
Tell Me An Excuse A Man Might Give For Showing Up Late For A Date.,Stuck In Traffic,43,Car Trouble,29
Tell Me An Important Document You’d Hate To Lose In A Fire.,Birth Certificate,35,Car Title,13
Tell Me Something You Can Do With Your Face That’s Considered Sexy.,Wear Make Up,24,Smile,16
Tell Me Something You See A Doctor In A Movie Usually Wearing.,Stethoscope,13,Lab Coat,24
Tell Me The Number Of People Who Can Ride Comfortably In A Van. #,6,47,7,23
What Might You Name Your Son If You Wanted Him To Grow Up To Be A Magician.,Houdini,49,Merlin,30
What Would A Single Guy Have To Learn About Laundry,Mixing Colors,53,Soap,9
When It’s Not Love Name A Word Used To Describe Strong Romantic Feelings.,Lust,58,Infatuation,3
When People Give Up Smoking Name Another Habit They May Pick Up.,Overeating,58,Biting Nails,6
When You’re Stressed Out Name The Part Of Your Body Where You Feel It The Most,Head,40,Chest,2
Instead Of Walking Name A Way To Get Around In Snowy Weather.,Ski,28,Snowmobile,20
Name A Fruit You Might Find In A Pastry,Strawberry,36,Apple,28
Name A Profession That Uses Scissors.,Barber/Hair Dresser,45,Seamstress,35
Name Something A Track Coach Might Carry With Him.,Stopwatch,45,Whistle,41
Name Something People Put Off Doing To Their Cars That They Should Do More Often,Wash/Wax,53,Change Oil,42
Name Something People Race.,Cars,64,Horses,21
We Asked 100 Men: What Do Some Women Do To Appear Ladylike On A Date That You Wish They Wouldn’t?,Wear Lots Of Make Up,40,Don’t Eat,33
Name Something A Man Might Do If He Nicks Himself While Shaving,Put Toilet Paper On,44,Ouch,11
Name Something On Everyone’s Driver’s License.,Birth Date,34,Name,25
Name Something Moses Is Famous For Doing In The Bible.,Parting The Red Sea,44,Commandments,31
Name A Place You’re More Likely To Visit If You Have Kids.,Zoo,43,Disneyland,18
Besdies Stamps Name Something You Can Buy At A Post Office.,Envelopes,45,Boxes,23
Besides The King Name Someone You Would Probably Have Seen In A Medievel Castle.,Queen,45,Knight,35
Name A Food That Pregnant Women Supposedly Crave.,Pickles,44,Ice Cream,26
Name A Fruit Used To Make Jelly.,Grapes,42,Strawberry,37
Name An American State Where Frosty The Snowman Would Not Go On Vacation.,Florida,50,Hawaii,42
Name Something A Duck Has That A Human Doesn’t,Bill,38,Feathers,28
Name Something A Little Boy Might Put On When He’s Trying To Dress Up Like His Daddy.,Tie,45,Suit,13
Name Something Police Will Give You A Ticket For.,Speeding,81,Run Stop Sign,13
Name Something That’s Often Served With Chips,Dip,45,Salsa,29
Name Something You Eat On A Bun.,Hot Dog,50,Hamburger,42
Name Something You Might Adjust When You Get Into A Rental Car.,Seat,61,Mirrors,29
Tell Me A Good Job For Someone Who Likes To Take Care Of People.,Nurse,62,Doctor,24
Name Something You See In Every Public Bathroom.,Toilet,29,Sink,26
Besdies Cigarettes Name Something A Tobacco Store Might Sell.,Cigars,27,Lighter,18
Besides Hamburger Name An Ingredient You’d Find In Hamburger Helper.,Noodles,61,Cheese,16
Besides Shoes Name Something People Buy For Their Feet.,Socks,72,Nail Polish,5
Name A Cartoon Character Who’s Always Getting Hurt.,Wile E Coyote,44,Tom And Jerry,17
Name A Dangerous Occupation Which Probably Shouldn’t Observe “Take Your Kids To Work Day.”,Police,35,Fireman,32
Name A Device With Buttons That You Don’t Want Kids To Get A Hold Of.,Remote Control,49,Phone,31
Name A Famous Fitness Guru.,Billy Blanks,37,Richard Simmons,31
Name A Food That Tastes Great With Mayonnaise.,Tuna,26,Potato Salad,20
Name A Good Gift For A Kid Who’s Really Into Baseball.,Baseball Glove,44,Bat,20
Name A Habit A Person Might Go To A Hypnotist To Overcome.,Smoking,63,Over Eating,10
Name A Piece Of Sports Equipment That You Only Use Once.,Jock Strap,41,Mouth Guard,19
Name A Place Where You Go About Once A Year And Dread It Every Time.,Dentist,47,Doctor,26
Name A Popular New Year’s Resolution.,Lose Weight,51,Quit Smoking,20
Name A Present People Buy For Their Dog For The Holidays.,Bones,64,Treats,8
Name A Professional Sport That Has A Draft.,Football,59,Baseball,15
Name A Reason A Person Might Complain About A Cup Of Coffee That’s Served To Them.,Cold,39,Weak,15
Name A Sign That Your Girlfriend Might Be Turning Into A Cat.,Purring,39,Whiskers,21
Name A Specific Food You’d Keep In The Refrigerator Crisper.,Lettuce,55,Tomato,11
Name A State That Starts With The Letter “W.”,Washington,41,Wisconsin,34
Name A TV Show That Might Cause Your Family A Lot Of Embarrassment If They Saw You On It.,Jerry Springer,49,Cops,28
Name A Way People Get To Work In The Morning.,Car,44,Bus,20
Name A Word That Describes Your Dream Job.,Lucrative,44,Easy,35
Name An Occasion Where You’d See People Dancing.,Wedding,33,Party,26
Name Another Word For “Courage.”,Brave,69,Strong,7
Name Something A Bank Robber Would Hate To Be Without.,Guns,66,Mask,14
Name Something A Bracelet Might Be Made Of. (Be More Specific Than Metal),Gold,50,Silver,31
Name Something A Hollywood Leading Man Needs.,Leading Woman,42,Good Looks,31
Name Something A Kid Might Complian About At Summer Camp.,Food,37,Bugs,24
Name Something A Kid Might Need To Buy Before Starting A New School Year.,Backpack,26,Pencils,12
Name Something A One Year Old Spends A Lot Of Time Doing.,Eating,23,Sleeping,18
Name Something A Police Officer Might Be Embarrassed To Say He Or She Doesn’t Know How To Do.,Shoot A Gun,41,Write A Ticket,35
Name Something A Politician Has To Be Good At.,Lying,45,Speaking,36
Name Something Eaten At A Luau.,Pork,48,Pineapple,38
Name Something Every Judge Needs To Have.,Gavel,51,Robe,18
Name Something Most Answering Machine’s Greetings Tell You.,Leave A Message,38,Leave Name,27
Name Something People Do In The Water At A Lake.,Swim,41,Water Ski,16
Name Something People Do On Your Answering Machine That Drives You Crazy.,Don’t Leave Message,89,Leave Long Message,7
Name Something People Do With A Christmas Fruit Cake.,Throw Away,37,Eat It,36
Name Something People Throw Away Every Day.,Garbage,33,Paper,13
Name Something Santa Asks Children When They Sit On His Lap.,Been Good,41,What They Want,37
Name Something That Attaches To A Camera.,Lens,42,Flash,29
Name Something That Comes With Your Clothes When You Pick Them Up From The Dry Cleaners.,Hangers,47,Plastic Bag,28
Name Something That Might Come With Your New Computer.,Printer,42,Mouse,19
Name Something That’s Done When An Athlete Wins An Olympic Event.,Get A Medal,36,Ceremony,12
Name Something You Might Ask A Professional To Install In Your Kitchen.,Dishwasher,30,Stove,24
Name Something You Might Buy That Has Instructions Printed In Several Languages.,TV,44,Phone,20
Name Something You Need When Setting A Table.,Silverware,44,Plates,35
Name Something You Purchase By The Gallon.,Milk,58,Gas,25
Name Something You’ll Probably Find In Most Mansions.,Butler,31,Chandelier,17
Name The Most Difficult Part Of Learning To Drive.,Parking,53,Shifting,12
Name The Toughest Part About Owning An Elephant As A Pet.,Cleaning Up,33,Feeding,31
Name The Worst Movie Starring Arnold Schwazenegger.,Kindergarten Cop,28,Terminator,22
Tell Me How Many Beers It Takes The Average Man To Get Drunk.,5,28,6,21
What Is Something That Happens In Bowling That Starts With The Letter “S.”,Strike,52,Spare,38
Where Might People Carpool To.,Work,48,School,42
Which Part Of The Body Can Be Used As A Weapon?,Hand,67,Arms,4
Besides Bread Name Something You Put In The Toaster.,Bagels,38,Pop Tarts,34
Besides Food Name Something With An Expiration Date On The Package.,Beverages,49,Medicine,36
If You Have An Unexpected Knock On The Door Name One Thing You Do Before Answering.,Ask Who It Is,45,Look,25
Name A Bad Homemade Holiday Present.,Fruitcake,44,Sweater,16
Name A Bad Job For Someone Who’s Afraid Of Water.,Lifeguard,85,Scuba Diver,3
Name A Christmas Story That A Parent Might Read To Their Child.,Night Before Xmas,64,Scrooge,6
Name A Famous Boxing Movie.,Rocky,66,Raging Bull,12
Name A Gift A Child May Give to A Teacher For The Holidays.,Apple,32,Mug,11
Name A Gift That Is Often Re-Gifted.,Clothes,32,Fruit Cake,22
Name A Good Gift For A Kid Who’s Really Into Baseball.,Baseball Glove,44,Bat,20
Name A Place Where You Might Be Charged A Late Fee.,Video Store,44,Library,37
Name A Place Where You Might Find A Bible.,Church,53,Hotel Room,40
Name A Present Most Girls Would Want For The Holidays.,Jewelry,36,Doll,30
Name A Reason Someone Might Buy One Brand Of Toilet Paper Over Another.,Softer,49,Cheaper,31
Name A Specific Chore Kids Do To Earn Their Allowance.,Take Out Trash,31,Mow Lawn,16
Name A Spice You Associate With Christmas.,Cinnamon,44,Nutmeg,36
Name A Type Of Shoe That Would Be Hard For A Tightrope Walker To Perform In.,High Heels,48,Boots,27
Name A Vehicle That Requires A Special License To Operate.,Semi Truck,42,Motorcycle,16
Name An Animal At The Zoo You Can Recognize Just By Its Sound.,Elephant,36,Lion,34
Name An Animal That Likes To Eat Fish.,Bear,45,Cats,21
Name Another Expression For “Getting Married.”,Hitched,59,Tie The Knot,15
Name One Thing Which Might Tell Someone That Fall Is In The Air.,Falling Leaves,55,Cool Weather,29
Name Someone You Might Tip At A Hotel.,Bellhop,67,Waiter,14
Name Something A Department Store Has To Do To Prepare For The Holiday Season.,Decorate,45,Hire People,19
Name Something A Kid Might Do At A Public Swimming Pool That Annoys Others.,“Wee Wee” In Pool,46,Splash,23
Name Something Credit Card Companies Offer As A Reward For Signing Up.,Cash Back,41,Free Miles,26
Name Something For Which You Dress Up To Make A Good First Impression.,First Date,55,Job Interview,41
Name Something Kids Like To Throw At Each Other.,Ball,29,Food,13
Name Something People Do In Their Sleep.,Snore,72,Dream,20
Name Something People Do When They Want To Look Better.,Change Hair,27,Lose Weight,24
Name Something People Do With Snow.,Make Snowballs,40,Snowman,38
Name Something People Leave On Their Nightstand Before Going To Bed.,Eye Glasses,40,Water,20
Name Something That Might Annoy A Barber About The Person Whose Hair He’s Cutting.,Dirty Hair,52,Talks Too Much,10
Name Something That People Try To Avoid Doing In An Elevator.,Pass Gas,54,Talking,14
Name Something Willie Nelson Is Famous For.,Singing,65,Braids,15
Name Something You Find At A Carnival That Comes On A Stick.,Cotton Candy,44,Corn Dog,39
Name Something You Hope Doesn’t Happen When Holding Someone’s Baby.,Have To Change Diaper,43,Throw Up,16
Name Something You Like To Smell Around Your Neighborhood In Summer.,Flowers,59,Grass,15
Name Something You Might See In A Bathtub.,Water,44,Soap,26
Name Something You Need To Knit A Sweater.,Yarn,58,Thread,10
Name The Holiday People Gan The Most Weight After.,Thanksgiving,41,Christmas,27
Name The Person You Spend The Most Money On At Christmas.,Kids,47,Parents,13
Tell Me A Man’s Name That Starts With The Leter “B.”,Bob,43,Bill,17
Tell Me Something Sharks Are Known To Eat.,People,42,Fish,40
We All Know The Grinch Stole Christmas Name Another Holiday He Might Want To Steal.,Thanksgiving,52,Easter,26
Besides Skis Name Something People Use On A Ski Slope.,Snowboard,60,Poles,25
Besides White Christmas Name A Song On Bing Crosby’s White Christmas Album.,Jingle Bells,40,Silver Bells,15
If You Were Going To Fill In For James Bond Name Something You’d Have To Learn How To Do.,Drive Fast,31,Shoot A Gun,26
If You Were Stranded At The Bottom Of The Grand Canyon Name Something You Would Hope To Have With You.,Water,37,Food,16
Name A Holiday Dessert With Cinnamon In It.,Cookies,21,Pumpkin Pie,19
Name A Specific Bowl Game That Takes Place During The Holidays.,Rose Bowl,36,Super Bowl,10
Name A Specific Task A Kid Might Want To Do While Helping To Bake Cookies.,Lick The Spoon,45,Mix,40
Name A Specific Way A Couple Might Show Affection In Public.,Hold Hands,65,Kiss,23
Name A Sport Where The Athletes Don’t Look Very Athletic.,Bowling,33,Golf,27
Name A Way People Get Around In New York City.,Taxi,57,Subway,33
Name An Occasion For Which You Might Rehearse A Phone Call Before Making It.,Date,42,Job Interview,28
Name Someone Famous Who Used To Play For The New York Yankees.,Babe Ruth,54,Mickey Mantle,14
Name Someone Who Might Knock On Your Hotel Room Door.,Housekeeping,40,Bellman,25
Name Something A Child Might Do For Or Give Santa.,Milk And Cookies,67,Write Letter,12
Name Something A Highway Crew Might Use On A Snowy Road.,Snowplow,42,Salt,40
Name Something Embarrassing That Can Happen When You Sing Karaoke.,Out Of Tune,42,Forget Words,27
Name Something Found In Santa’s Workshop.,Elves,55,Toys,30
Name Something That Crawls.,Spider,46,Baby,23
Name Something That Shines At Night.,Stars,38,Moon,33
Name Something You Expect People To Do At Halloween But Not At Christmas.,Wear Costumes,44,Trick Or Treat,29
Name Something You Might Have To Watch Out For While Skiing The Slopes.,Trees,69,Ice,4
Name Something You Might Take With You When Walking Your Dog.,Leash,43,Pooper Scooper,21
Name Something You Need To Play Scrabble.,Letters,31,Board,29
Name Something You Wish People Wouldn’t Do In Your Car.,Smoke,58,Eat,22
Name The First Person You Call When You Have Great News.,Parent,47,Spouse,22
What Part Of Your Body Gets Tired When You Swim?,Arms,56,Legs,40
Which Tool Would You Not Want To Be Without When Building A House?,Hammer,40,Saw,29
Name A Mistake A Pizza Chef Might Make The First Day On The Job.,Burn Pizza,41,Wrong Topping,34
Name A Place That’s Visited Often That You Can’t Imagine Going For A Business Trip.,Hawaii,56,Disney World,17
As Early As October How Can You Tell Christmas Is Coming?,Gets Cold Out,54,Decorations,33
Besides Students Name Something You See In Most High School Hallways.,Lockers,69,Teachers,14
If Someone Turned You Upside Down Name Something That Would Fall Out Of Your Pockets.,Car Keys,54,Money,33
If You Ran Out Of Kleenex Name Something You Might Wipe Your Nose With.,Shirt Sleeve,28,Toilet Paper,28
Name A Company That’s Famous For Making Car Tires.,Firestone,39,Goodyear,36
Name Something Associated With Diana Ross.,Supremes,37,Singer,19
Name Something That Has A Captain.,Ship,60,Team,27
Name Something That’s Found In Just About Every Desk Drawer.,Pencil,42,Pen,31
Name Something You Associate With Brad Pitt.,Angelina Jolie,25,Jennifer Anniston,25
Name Something You Drink At The First Sign Of A Cold To Try To Ward It Off.,Tea,49,Orange Juice,41
Tell Me Another Name Santa Claus Goes By.,St. Nick,65,Kris Kringle,29
Tell Me The Age A Man Might Start Losing His Hair.,40,28,30,24
Why Do Most People Never End Up In Movies?,Don’t Look Good,47,Can’t Act,27
How Might An Employer Find Out About An Applicant Even Before The Interview?,Resume,31,Internet,21
If A Man Goes By The Name “Al” What Might It Be Short For?,Albert,48,Alan,20
Name A Piece Of Technology That People Hate But Need.,Computer/Internet,59,Cell Phone,36
Name Something A Person Does Often When They’re Sleepy.,Yawn,58,Snore,29
We Asked 100 Married People: What Was The Single Hardest Thing To Start Sharing Once You Moved In With Your Partner?,Bed,44,Bathroom,25
Name A Beverage You Can’t Imagine Drinking On A Hot Day.,Coffee,58,Hot Chocolate,28
Name A Circumstance That People Say Only Happens To One In A Million.,Winning Lottery,49,Struck By Lightning,31
Name A Form Of Transportation You Wouldn’t Want To Use In A Rain Storm.,Motorcycle,35,Bicycle,22
Name A Movie Involving An Elephant.,Dumbo,49,The Jungle Book,17
Name A Reason Why You Might Be Driving Slower Than Usual.,Traffic,35,Accident Ahead,17
Name A Specific Button On A Clock Radio.,Snooze,76,Alarm,8
Name Something At Home That People Might Trip Over.,Electric Cord,44,Toys,19
Name Something People Do On The Day After Thanksgiving.,Shop,42,Rest,23
Name Something You Might Find In An Igloo.,Eskimos,52,Ice,29
Name Something You Might Need To Get A Permit Before Doing.,Driving A Car,42,Fishing,18
Name A City In Florida.,Miami,27,Tampa,13
Name A Famous Book Of The Bible That People Study In Bible Class.,Genesis,29,Revelation,16
Name A Food You Might Wash Before Eating. (Be More Specific Than Fruit),Apple,53,Grapes,20
Name A Popular Brand Of Men’s Underwear.,Hanes,68,Fruit Of The Loom,15
Name A Superstition That Many Brides Follow On Their Wedding Day.,Old New Borrow Blue,46,Don’t See Groom Before,44
Name Another Word For “Small.”,Tiny,46,Little,44
Name Something Associated With Lucy From The Peanuts Comics.,Charlie Brown,31,Football,17
Name Something Parents Tells Their Kids Not To Waste.,Food,53,Water,14
Name Something That You’d Test Out Before Buying Second-Hand.,Car,46,TV,31
Name Something That’s Usually Required To Rent An Automobile.,Credit Card,51,Drivers License,40
Name Something You Would Need If You Wanted To Dress Up Like The Statue Of Liberty.,Torch,51,Robe,20
Name Something You Might Cut Out Of Your Morning Routine If You Were In A Big Hurry.,Breakfast,43,Shower,14
Name A Type Of Oil People Never Put On Food.,Motor,75,Mineral,8
Name A State That Has Lots Of People.,New York,44,California,26
Name Something Every Tight Rope Walker Needs To Do Their Job.,Pole,45,Rope,17
If You Were Invited To Speak At A Roast For Arnold Schwarzenegger Name Something About Him You Might Make Fun Of.,Accent,49,Muscles,9
Name An Activity Kids Like To Do That They Need To Wear A Helmet For.,Bike Riding,57,Rollerblading,9
Name Something A King Has That The Average Person Doesn’t.,Crown,44,Castle,9
Name A Complaint People Have About Their Computers.,Slow,58,Freeze,14
Name Something You Worry About Before Falling Asleep At Night.,Money,49,Work,38
Name Something A Person Might Read Everyday.,Newspaper,38,Bible,14
Besides Fly Name Soemthing Birds Do A Lot Of.,Poo,18,Eat,13
How Many Days After Christmas Do People Take Down Their Decorations.,7,40,5,11
Tell Me The Age When A Kid Is Too Old To Sit On Santa’s Lap.,10,39,8,20
Name A Holiday That’s Considered Patriotic.,4Th Of July,81,Memorial Day,6
Name A Kind Of Animal You Might See In A Swamp,Alligator,73,Crocodile,5
Name Something A Couple Stops Sharing After They Get Divorced.,Bed,52,Car,3
Name Something You Might See At A Church Gift Shop.,Bible,48,Rosary,11
Name A Singer Of Classic Holiday Standards.,Bing Crosby,53,Nat King Cole,20
Name A College Major That Ends In “Ology”,Biology,28,Psychology,31
Name A Present A Girl Might Ask For That Most Parents Would Never Give.,Car,42,Pony,27
Name A Good Gift For Someone Who Just Graduated From College.,Car,40,Money,29
If A Grown Man Sat On Santa’s Knee Name Something He Might Tell Him He Wanted For Christmas.,Car,42,Cash,17
Name The Worst Thing That Can Happen In The Snow.,Car Accident,42,Get Stuck,11
Name A Gift Children Create At School And Give Their Parents.,Cards,40,Ornament,20
Name Something You Use To Decorate A Snowman.,Carrot,52,Hat,16
Name A Flavor That They Might Add To A Snow Cone.,Cherry,37,Watermelon,10
Name A Kind Of Cookie People Leave Out For Santa.,Chocolate Chip,47,Sugar,37
Name Something Specific A Child Can Do To Get On Santa’s Nice List.,Chores,28,Be Nice,20
Name Something Associated With The Month Of December.,Christmas,48,Snow,19
Name The Worst Holiday To Be Born On.,Christmas,66,New Years,4
Name A Gift You Received In The Past That Seems Really Out Of Style Now.,Clothes,69,Record Player,4
Name Something People Stop For On Their Way To Work,Coffee,53,Breakfast,15
Name A Pet That Makes A Good Holiday Gift.,Dog,76,Kitten,12
Name A Bird Usually Associated With Christmas.,Dove,45,Turkey,13
Name Someone Who Writes The Funniest Stories About Christmas.,Dr Seuss,46,Elves,9
Name Something Embarrassing Your Parents Might Do During The Holidays.,Drink,24,Sing,20
Name A Beverage You Might During At A Typical Holiday Party.,Egg Nog,55,Wine,16
Name Something Specific A Child Does To Get On Santa’s Naughty List.,Fight,26,Tantrum,5
Give Me A Slang Term You’d Use To Describe A Really Good-Looking Guy,Fine,39,Hot,18
Name An Activity People Like To Do At A Lake,Fishing,45,Swim,14
Name Something A Man Gives His Wife On Valentine’s Day.,Flowers,50,Chocolates,30
Name A Good Gift For A Kid Who’s Really Into Baseball.,Glove,25,Bat,20
Name A Good Gift For A Professional Boxer.,Gloves,54,Shorts,19
Name The Least Offensive Sport If You Forget Your Deodorant,Golf,34,Bowling,15
