Question,Answer 1,#1,Answer 2,#2,Answer 3,#3
Name A Comic Book Superhero Who Could Have Used A Little Therapy.,Spider Man,35,Batman,17,Superman,9
Name A Family Member You Might Have On Your Team When Playing Family Feud.,Spouse,24,Mother,19,Father,7
Name A Good Gift For Someone Who Takes A Lot Of Photographs.,Film,44,Camera,26,Album,21
Name A Place A Kid Might Store Their Toys.,Toy Box,53,Closet,18,Under Bed,15
Name A Way Children Submit Their Wish List To Santa.,Mail,71,Email,6,Pray,2
Name Something About The Holidays That Is A Source Of Stress.,Shopping,42,Family In Town,13,Travel,6
Name Something People Put In The Microwave That They Shouldn’t.,Foil,71,Plastic,10,Fork,5
Name Something You Do At An Office Party.,Drink,44,Exchange Gifts,10,Dance,7
Name Someone You’d Be Embarrassed To Be Drunk In Front Of.,Parents,50,Grandmother,17,Boss,16
If A Clown Had A Garage Sale Name Something You’d Probably See For Sale.,Red Nose,43,Big Shoes,16,Wig,13
Name Something You’d Need If You Were Making Pancakes.,Flour,28,Eggs,17,Batter,9
Name Something That Might Accidentally Get Caught In A Paper Shredder.,Tie,56,Fingers,25,Shirt,5
Name A Pie Filling Often Used During The Holidays.,Apple,28,Cherry,10,Pecan,3
Name A Relative You Only See During The Holidays.,Aunt / Uncle,53,Grandparents,18,Mother,10
Name A Type Of Dealer,Car,65,Drug,17,Card,15
Name Your Favorite Filling In A Holiday Candy.,Carmel,44,Cherry,22,Peanut Butter,3
Name Something People Get A Newborn For The Holidays.,Clothes,49,Teddy Bear,17,Blanket,10
Name Someone Dorothy Met In The Land Of Oz.,Lion,25,Tin Man / Scare Crow,23,Wizard,8
Name An Animal That Looks Cuddly But Would Probably Eat You Alive.,Panda,30,Polar Bear,25,Lion,25
Name A Place People Have A Holiday Dinner.,Parents’ House,35,Home,28,Restaurant,2
Name One Of The Gifts From The Song “The Twelve Days Of Christmas”,Partridge,40,Gold Rings,36,Turtle Dove,10
Name An Animal Traditionally Associated With Christmas.,Reindeer,74,Polar Bear,4,Turtle Dove,4
Name An Image That Might Appear On Christmas Wrapping Paper.,Santa,30,Tree,23,Snowman,11
Name Something People Do With A Christmas Fruit Cake.,Throw Away,37,Eat It,36,Re-Gift,18
Name An Insulting Thing Someone Might Do With A Gift You Sent Them.,Throw It Away,30,Take Back,27,Re-Gift,17
Name Something You Buy At A Hospital Gift Shop,Flowers,65,Card,20,Balloons,10
Name Something People Do With Snow,Make Snowballs,40,Snowman,38,Eat,3
Name A Good Homemade Holiday Gift,Cookies,39,Sweater,10,Card,10
Name Something Cowboys Are Good At,Riding Horses,15,Roping,20,Rodeo,3
Name A Color Leaves Turn In The Fall,Orange,34,Red,31,Yellow,18
Name The Time Of Day A Person Is Likely To Take A Nap,2Pm,33,12Pm,18,1Pm,9
If You Could Only Eat One Food For The Rest Of Your Life What Would It Be,Pizza,49,Chocolates,18,Hamburgers,14
Name Something You’d Buy At A Bakery For Christmas,Cookies,40,Cake,17,Pie,16
If You Were Going To Fill In For James Bond Name Something You’d Have To Learn How To Do.,Drive Fast,31,Shoot A Gun,26,Fight,20
Name An Occupation That Edward Scissorhands Would Be Good At,Gardener,44,Barber,31,Seamstress,12
Name Something You Would Complain About When You Receive A Pizza Delivery,Cold,60,Wrong Toppings,23,Late Delivery,8
Name Something You’d Find In A Hospital Waiting Room,Magazines,54,Chairs,8,Patients,6
Name Something A Church Couldn’t Do Without,Pastor,34,Bibles,13,Pews,7
Name Something People Often Skip,Lunch/Meals,53,School,12,Stones,9
Name Something A Man Would Wear If He Were To Impersonate A Woman,Dress,30,Wig,26,High Heels,12
Name A Famous “Dan”,Dan Rather,54,Dan Quayle,13,Dan Ackroyd,13
Name A Kind Of Animal You Might See In A Swamp,Alligator,73,Frog,13,Crocodile,5
Besides Toys Name Something A Kid Might Receive At Christmas.,Clothes,53,Books,7,Bike,3
Name Something People Do In The Grand Canyon.,Hike,39,Take Pictures,11,Raft,10
Name A Gambling Game Where You Bet On A Certain Number Coming Up.,Lotto,45,Roulette,20,Blackjack,17
Name Something You Can Adjust On Your TV.,Volume,46,Channel,31,Picture,5
Name A Country That Produces A Lot Of Oil.,Saudi Arabia,23,Iraq,20,USA,18
Name Something You’d Find In Almost Every Room Of A House.,Light,41,Window,11,Door,5
Name Something People Know About Kangaroos.,Marsupial,55,Jump,37,Australia,5
Name Something You’d See On A Coffee Table,Book,27,Magazine,26,Coaster,11
Name Something You’d See At A Thrift Store.,Clothing,53,Toys,8,Furniture,7
Name Someone Who Might Wear A Lab Coat.,Doctor,33,Scientist,9,Nurse,7
Name Someone A Rich Person Might Hire To Work For Them.,Maid,49,Butler,15,Driver,6
Name Something Listed On A Wedding Invitation.,Date,29,Names,26,Location,8
Name Something Associated With Winnie-the-pooh.,Hunny,54,Tigger,26,Piglet,5
What Are A Couch Potato’s Favorite Hobbies.,Watch TV,52,Eating,33,Sleeping,9
Name A Term That Starts With “Fortune”,Fortune Cookie,45,Fortune Teller,45,Fortune 500,9
Name A Monthly Bill Where The Amount Changes Every Month.,Electric,41,Phone,24,Water,4
Name A Part Of The Body That Often Itches.,Head,35,Back,16,Nose,15
Name A Part Of The Body Where Men Have More Hair Than Women.,Chest,38,Face,27,Legs,13
Name A Type Of Fruit A Kid Might Have In A Lunch Bag.,Apple,71,Banana,20,Orange,7
Name Something You Might Expect To See A Lot Of In Beverly Hills.,Movie Stars,39,Mansions,21,Exotic Cars,19
Besides Dishes Name Something You Might Put In Your Dishwasher.,Pot And Pans,21,Silverware,19,Soap,17
Name The Age When A Girl Starts Wearing Lipstick.,13,34,12,23,15,7
What Might A Man Have In His Bedroom That Tells You He’s Still Re-living His High School Days.,Old Posters,27,Trophies,25,Pictures,4
Name Something A Celebrity Might Go On A Talk Show To Promote.,Movie,39,Album,21,Book,12
Besides Walking Name A Way To Get Around In Snowy Weather,Ski,28,Sled,27,Car,23
